경신중학교,127.00056161099862,37.59156202100197
대신중학교,126.96190582622222,37.573272915629936
덕성여자중학교,126.9819366063178,37.57803132712396
동성중학교,127.00244551872268,37.5852478408469
배화여자중학교,126.96685723076108,37.57833079063328
상명대학교사범대학부속여자중학교,126.95504170077065,37.60282305792207
서울대학교사범대학부설여자중학교,127.00363166232346,37.5773046499163
중앙중학교,126.98686686083846,37.58409746830287
청운중학교,126.97052071114425,37.589637425613134
금호여자중학교,127.02080195177834,37.55792425598369
대경중학교,127.01707128268932,37.55638234682241
덕수중학교,126.99724273963967,37.56514484193828
장원중학교,127.00568114276821,37.55334167591568
장충중학교,127.00661363060641,37.552952396232975
창덕여자중학교,126.96914866012492,37.56711222238087
한양중학교,127.01165389483347,37.565501093425084
환일중학교,126.96247718484622,37.553566505892185
배문중학교,126.96435289659185,37.55019014602323
보성여자중학교,126.98449335459682,37.54274504882381
선린중학교,126.96657438371886,37.542474640345034
성심여자중학교,126.95403295074797,37.53424249069608
신광여자중학교,126.96997330351492,37.54301975725988
오산중학교,126.99976469646265,37.52457107499074
용강중학교,126.97619928801458,37.52096466657089
용산중학교,126.98106627859529,37.545782718849196
한강중학교,126.99197710498402,37.52409867747039
경수중학교,127.05841232343586,37.539700656906554
경일중학교,127.04796880357009,37.54351839158004
광희중학교,127.03394992662582,37.55086098897141
동마중학교,127.04000828304963,37.56248916608336
마장중학교,127.04192663815088,37.56834497480539
무학중학교,127.03286640009047,37.557398935635696
성수중학교,127.03872841946811,37.54765917154794
성원중학교,127.05214349959076,37.5392134473562
옥정중학교,127.01260968909101,37.541498410151746
한양대학교사범대학부속중학교,127.04622875413206,37.56229227905751
행당중학교,127.04228994906836,37.554260465028875
건국대학교사범대학부속중학교,127.07372651707584,37.5425428517053
광남중학교,127.10162267057436,37.54029486931647
광양중학교,127.08605065246991,37.53022324603388
광장중학교,127.10172250400932,37.5471495842847
광진중학교,127.08961854661244,37.53178833438608
구의중학교,127.07906812370035,37.54324938337629
대원국제중학교,127.09071594383376,37.56350624931183
동국대학교사범대학부속여자중학교,127.08682530589545,37.542631254994774
신양중학교,127.06345336998099,37.533300952944394
양진중학교,127.098247287395,37.54452521449283
용곡중학교,127.08882620100856,37.565796215928124
자양중학교,127.07421727408133,37.53535977250634
경희여자중학교,127.05139547525424,37.59671171281465
경희중학교,127.05139547525424,37.59671171281465
대광중학교,127.0242444368048,37.57775992124021
동국대학교사범대학부속중학교,127.07532361143188,37.577886142866866
동대문중학교,127.05246700782736,37.57458645904507
성일중학교,127.03390032525783,37.58125700363363
숭인중학교,127.04416200979682,37.57377896275405
장평중학교,127.07049007253525,37.56631314533002
전농중학교,127.06016490180612,37.58038518910232
전동중학교,127.07107403615271,37.585269716412235
전일중학교,127.05845401596646,37.58149246887016
정화여자중학교,127.04079068204115,37.5858643053934
청량중학교,127.05127158539887,37.58778473874292
휘경여자중학교,127.06715940443394,37.58326459599442
휘경중학교,127.06204961888326,37.58690740418842
동원중학교,127.10850354869608,37.60363588278431
면목중학교,127.09602428384584,37.58285541534592
봉화중학교,127.10395924427043,37.5965041289207
상봉중학교,127.0903813200166,37.60130136999453
송곡여자중학교,127.1050693500952,37.60645007784829
신현중학교,127.09173951678056,37.60440693592178
영란여자중학교,127.10482089083526,37.603714894175376
용마중학교,127.08590654991991,37.57422448318242
원묵중학교,127.08455212869312,37.61779018682792
장안중학교,127.08077746562033,37.6004974424123
중랑중학교,127.0814346821959,37.60503437726829
중화중학교,127.09524265186587,37.58427961756502
태릉중학교,127.08286967979998,37.612306163667874
혜원여자중학교,127.09653144293809,37.59334255228867
개운중학교,127.0248296757397,37.59467684257157
고려대학교사범대학부속중학교,127.00157198922489,37.609826895778546
고명중학교,127.01992530140538,37.59793215326049
남대문중학교,127.05595926483007,37.61839105008033
동구여자중학교,127.00715620261157,37.59356200756426
북악중학교,127.00195244380386,37.60659053555673
삼선중학교,127.00857815091138,37.59152567094243
서울대학교사범대학부설중학교,127.03858040085741,37.59417580149959
석관중학교,127.06655639493128,37.607901644922876
성신여자중학교,127.02330315127016,37.594205034201075
숭곡중학교,127.03147083791308,37.6082658003767
용문중학교,127.02476860294776,37.588063573191484
월곡중학교,127.04808634254357,37.60667445821608
장위중학교,127.04118977505868,37.61153159747727
종암중학교,127.03234304929853,37.592941514762465
한성여자중학교,127.01147083798135,37.58227403090903
홍익대학교사범대학부속중학교,127.0034105585006,37.594419919372015
강북중학교,127.02588425780763,37.6447967644165
미양중학교,127.01221575807637,37.62365824578424
번동중학교,127.03671490378694,37.63218731044698
삼각산중학교,127.01463837964788,37.61601038579975
서라벌중학교,127.01106521974958,37.65659475528862
성암여자중학교,127.02436263435688,37.620852490295476
수송중학교,127.03367169218566,37.63664989844913
수유중학교,127.01053575551411,37.63090954828701
신일중학교,127.02745993458996,37.62818584475392
영훈국제중학교,127.02778082109735,37.61375555238436
인수중학교,127.01017045010772,37.64372519257352
창문여자중학교,127.0365196156146,37.61278370771737
화계중학교,127.01027314387173,37.632477287036956
노곡중학교,127.05334820927253,37.64820407193187
도봉중학교,127.04567462035763,37.670454331859204
방학중학교,127.031816879562,37.665514303717444
백운중학교,127.03595149423899,37.656034790831455
북서울중학교,127.04296047657593,37.68121304274256
선덕중학교,127.0268443986522,37.655395715437955
신도봉중학교,127.03321962666104,37.649343092109575
신방학중학교,127.02935450480639,37.66392921584885
정의여자중학교,127.03179792920581,37.65297264324537
창동중학교,127.04948689825738,37.662509749330724
창북중학교,127.03882691726429,37.65017028439833
